case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.866536e+02	2.543539e-01	5.411453e+04	1.866536e+02	1.866536e+02	1.866536e+02	1.866536e+02	-2.352860e-06	4.894417e-06	YES
1	VOID	1.825359e+02	2.701756e-01	5.237456e+04	1.825359e+02	1.825359e+02	1.825359e+02	1.825359e+02	-3.358928e-06	-6.546930e-06	YES
1	VOID	1.819450e+02	2.648579e-01	5.193626e+04	1.819450e+02	1.819450e+02	1.819450e+02	1.819450e+02	-6.585881e-06	-1.120882e-05	YES
1	VOID	1.801672e+02	2.626016e-01	5.136970e+04	1.801672e+02	1.801672e+02	1.801672e+02	1.801672e+02	-8.669003e-07	2.260831e-06	YES
1	VOID	1.784376e+02	2.582216e-01	5.089252e+04	1.784376e+02	1.784376e+02	1.784376e+02	1.784376e+02	-3.573535e-05	-7.059932e-04	YES
1	VOID	1.804270e+02	2.371969e-01	5.133610e+04	1.804270e+02	1.804270e+02	1.804270e+02	1.804270e+02	-1.188478e-06	-8.630218e-06	YES
1	VOID	1.779721e+02	2.401349e-01	5.110147e+04	1.779721e+02	1.779721e+02	1.779721e+02	1.779721e+02	5.909574e-07	7.339816e-07	YES
1	VOID	1.808154e+02	2.291417e-01	5.155315e+04	1.808154e+02	1.808154e+02	1.808154e+02	1.808154e+02	-7.492886e-05	-6.842305e-05	YES
1	VOID	1.811051e+02	2.240125e-01	5.169124e+04	1.811051e+02	1.811051e+02	1.811051e+02	1.811051e+02	-3.383343e-05	6.775789e-05	YES
1	VOID	1.813882e+02	2.267590e-01	5.214570e+04	1.813882e+02	1.813882e+02	1.813882e+02	1.813882e+02	-6.380954e-05	-1.155507e-04	YES
1	VOID	1.827581e+02	2.296244e-01	5.307131e+04	1.827581e+02	1.827581e+02	1.827581e+02	1.827581e+02	2.468423e-07	7.405167e-07	YES
1	VOID	1.794197e+02	2.432864e-01	5.277594e+04	1.794197e+02	1.794197e+02	1.794197e+02	1.794197e+02	3.816305e-06	-3.676439e-06	YES
1	VOID	1.803462e+02	2.416185e-01	5.353130e+04	1.803462e+02	1.803462e+02	1.803462e+02	1.803462e+02	9.277946e-07	9.813660e-07	YES
1	VOID	1.821208e+02	2.381337e-01	5.375830e+04	1.821208e+02	1.821208e+02	1.821208e+02	1.821208e+02	6.111428e-07	1.745507e-06	YES
1	VOID	1.805315e+02	2.446471e-01	5.283636e+04	1.805315e+02	1.805315e+02	1.805315e+02	1.805315e+02	2.251657e-06	5.162648e-05	YES
1	VOID	1.815298e+02	2.428960e-01	5.195665e+04	1.815298e+02	1.815298e+02	1.815298e+02	1.815298e+02	1.369847e-06	-2.082124e-05	YES
1	VOID	1.808479e+02	2.374469e-01	5.159984e+04	1.808479e+02	1.808479e+02	1.808479e+02	1.808479e+02	4.501220e-07	1.284773e-06	YES
